workload,source,family,role,assignment,transformation,machine,model,tiles,ccz_share,regime,makespan,depth,t_count,ccz_count,teq_demand,t_stalls,ccz_stalls,total_stalls,t_waste,ccz_waste,peak_stage_demand,mean_stage_demand,burstiness,stages,parallelism,space_time,factory_tiles,utilisation,baseline_makespan,improvement
qt_aliassamp16,qualtran,state_preparation,target,t,commuting,A_3200_0.5,A,3200,0.5,abundant,224,218,156,0,156.0,6,0,6,2647,775,36.0,8.67,0.9881,18,2.17,712096,3179,0.0339,347,0.3545
qt_aliassamp16,qualtran,state_preparation,target,t,conventional_pace4,A_3200_0.5,A,3200,0.5,abundant,358,352,156,0,156.0,6,0,6,4413,1266,16.0,6.5,0.5565,24,1.344,1138082,3179,0.0212,347,-0.0317
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace1,A_3200_0.5,A,3200,0.5,abundant,355,349,156,0,156.0,6,0,6,4373,1255,4.0,4.0,0.0,39,1.355,1128545,3179,0.0214,347,-0.0231
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace2,A_3200_0.5,A,3200,0.5,abundant,267,261,156,0,156.0,6,0,6,3213,933,8.0,6.0,0.3333,26,1.812,848793,3179,0.0285,347,0.2305
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace4,A_3200_0.5,A,3200,0.5,abundant,241,235,156,0,156.0,6,0,6,2871,837,16.0,7.8,0.6379,20,2.013,766139,3179,0.0316,347,0.3055
qt_aliassamp16,qualtran,state_preparation,target,t,commuting_pace8,A_3200_0.5,A,3200,0.5,abundant,231,225,156,0,156.0,6,0,6,2739,801,28.0,8.21,0.8581,19,2.102,734349,3179,0.0329,347,0.3343
qt_multiand10,qualtran,and_ladder,control,ccz,conventional,A_400_0.5,A,400,0.5,constrained,48,45,0,9,18.0,0,3,3,32,0,2.0,2.0,0.0,9,0.2,19872,414,0.1422,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting,A_400_0.5,A,400,0.5,constrained,48,45,0,9,18.0,0,3,3,32,0,2.0,2.0,0.0,9,0.2,19872,414,0.1422,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,conventional_pace4,A_400_0.5,A,400,0.5,constrained,48,45,0,9,18.0,0,3,3,32,0,2.0,2.0,0.0,9,0.2,19872,414,0.1422,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace1,A_400_0.5,A,400,0.5,constrained,48,45,0,9,18.0,0,3,3,32,0,2.0,2.0,0.0,9,0.2,19872,414,0.1422,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace2,A_400_0.5,A,400,0.5,constrained,48,45,0,9,18.0,0,3,3,32,0,2.0,2.0,0.0,9,0.2,19872,414,0.1422,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace4,A_400_0.5,A,400,0.5,constrained,48,45,0,9,18.0,0,3,3,32,0,2.0,2.0,0.0,9,0.2,19872,414,0.1422,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace8,A_400_0.5,A,400,0.5,constrained,48,45,0,9,18.0,0,3,3,32,0,2.0,2.0,0.0,9,0.2,19872,414,0.1422,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,conventional,A_3200_0.5,A,3200,0.5,abundant,48,45,0,9,18.0,0,3,3,483,121,2.0,2.0,0.0,9,0.2,152592,3179,0.0183,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting,A_3200_0.5,A,3200,0.5,abundant,48,45,0,9,18.0,0,3,3,483,121,2.0,2.0,0.0,9,0.2,152592,3179,0.0183,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,conventional_pace4,A_3200_0.5,A,3200,0.5,abundant,48,45,0,9,18.0,0,3,3,483,121,2.0,2.0,0.0,9,0.2,152592,3179,0.0183,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace1,A_3200_0.5,A,3200,0.5,abundant,48,45,0,9,18.0,0,3,3,483,121,2.0,2.0,0.0,9,0.2,152592,3179,0.0183,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace2,A_3200_0.5,A,3200,0.5,abundant,48,45,0,9,18.0,0,3,3,483,121,2.0,2.0,0.0,9,0.2,152592,3179,0.0183,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace4,A_3200_0.5,A,3200,0.5,abundant,48,45,0,9,18.0,0,3,3,483,121,2.0,2.0,0.0,9,0.2,152592,3179,0.0183,48,0.0
qt_multiand10,qualtran,and_ladder,control,ccz,commuting_pace8,A_3200_0.5,A,3200,0.5,abundant,48,45,0,9,18.0,0,3,3,483,121,2.0,2.0,0.0,9,0.2,152592,3179,0.0183,48,0.0
qt_multiand10,qualtran,and_ladder,control,t,conventional,A_400_0.5,A,400,0.5,constrained,71,63,36,0,36.0,8,0,8,34,2,4.0,4.0,0.0,9,0.143,29394,414,0.1923,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting,A_400_0.5,A,400,0.5,constrained,71,63,36,0,36.0,8,0,8,34,2,4.0,4.0,0.0,9,0.143,29394,414,0.1923,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,conventional_pace4,A_400_0.5,A,400,0.5,constrained,71,63,36,0,36.0,8,0,8,34,2,4.0,4.0,0.0,9,0.143,29394,414,0.1923,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace1,A_400_0.5,A,400,0.5,constrained,71,63,36,0,36.0,8,0,8,34,2,4.0,4.0,0.0,9,0.143,29394,414,0.1923,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace2,A_400_0.5,A,400,0.5,constrained,71,63,36,0,36.0,8,0,8,34,2,4.0,4.0,0.0,9,0.143,29394,414,0.1923,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace4,A_400_0.5,A,400,0.5,constrained,71,63,36,0,36.0,8,0,8,34,2,4.0,4.0,0.0,9,0.143,29394,414,0.1923,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace8,A_400_0.5,A,400,0.5,constrained,71,63,36,0,36.0,8,0,8,34,2,4.0,4.0,0.0,9,0.143,29394,414,0.1923,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,conventional,A_3200_0.5,A,3200,0.5,abundant,71,63,36,0,36.0,8,0,8,750,214,4.0,4.0,0.0,9,0.143,225709,3179,0.0247,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting,A_3200_0.5,A,3200,0.5,abundant,71,63,36,0,36.0,8,0,8,750,214,4.0,4.0,0.0,9,0.143,225709,3179,0.0247,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,conventional_pace4,A_3200_0.5,A,3200,0.5,abundant,71,63,36,0,36.0,8,0,8,750,214,4.0,4.0,0.0,9,0.143,225709,3179,0.0247,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace1,A_3200_0.5,A,3200,0.5,abundant,71,63,36,0,36.0,8,0,8,750,214,4.0,4.0,0.0,9,0.143,225709,3179,0.0247,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace2,A_3200_0.5,A,3200,0.5,abundant,71,63,36,0,36.0,8,0,8,750,214,4.0,4.0,0.0,9,0.143,225709,3179,0.0247,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace4,A_3200_0.5,A,3200,0.5,abundant,71,63,36,0,36.0,8,0,8,750,214,4.0,4.0,0.0,9,0.143,225709,3179,0.0247,71,0.0
qt_multiand10,qualtran,and_ladder,control,t,commuting_pace8,A_3200_0.5,A,3200,0.5,abundant,71,63,36,0,36.0,8,0,8,750,214,4.0,4.0,0.0,9,0.143,225709,3179,0.0247,71,0.0
