kernel,control,setting,capacity_target,ccz_share,t_rate,ccz_rate,buffer,latency,p_success,seed,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
mixed_w32_c16_l1,conversion,CCZ->2T only,0.25,0.25,0.1818,0.1667,32,0,1.0,0,345,345,uniform_oracle,345,1,0.0,0.0,0.0,0.3827
mixed_w32_c16_l1,conversion,CCZ->2T only,0.25,0.5,0.0909,0.1667,32,0,1.0,0,367,367,uniform_oracle,367,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,conversion,CCZ->2T only,0.25,0.75,0.0909,0.1667,32,0,1.0,0,367,367,uniform_oracle,367,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,conversion,CCZ->2T only,0.5,0.25,0.3636,0.1667,32,0,1.0,0,315,315,uniform_oracle,315,1,0.0,0.0,0.0,0.3827
mixed_w32_c16_l1,conversion,CCZ->2T only,0.5,0.5,0.2727,0.1667,32,0,1.0,0,333,333,uniform_oracle,333,1,0.0,0.0,0.0,0.3827
mixed_w32_c16_l1,conversion,CCZ->2T only,0.5,0.75,0.0909,0.1667,32,0,1.0,0,367,367,uniform_oracle,367,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,conversion,CCZ->2T only,1.0,0.25,0.7273,0.1667,32,0,1.0,0,243,243,uniform_oracle,243,1,0.0,0.0,0.0,0.375
mixed_w32_c16_l1,conversion,CCZ->2T only,1.0,0.5,0.5455,0.3333,32,0,1.0,0,201,201,uniform_oracle,201,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,conversion,CCZ->2T only,1.0,0.75,0.2727,0.3333,32,0,1.0,0,209,209,uniform_min_teq,209,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,conversion,both directions,0.25,0.25,0.1818,0.1667,32,0,1.0,0,342,342,uniform_oracle,342,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,conversion,both directions,0.25,0.5,0.0909,0.1667,32,0,1.0,0,362,362,uniform_oracle,362,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,conversion,both directions,0.25,0.75,0.0909,0.1667,32,0,1.0,0,362,362,uniform_oracle,362,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,conversion,both directions,0.5,0.25,0.3636,0.1667,32,0,1.0,0,299,299,uniform_oracle,299,1,0.0,0.0,0.0,0.3827
mixed_w32_c16_l1,conversion,both directions,0.5,0.5,0.2727,0.1667,32,0,1.0,0,327,327,uniform_oracle,327,1,0.0,0.0,0.0,0.697
mixed_w32_c16_l1,conversion,both directions,0.5,0.75,0.0909,0.1667,32,0,1.0,0,362,362,uniform_oracle,362,1,0.0,0.0,0.0,0.697
