kernel,family,capacity_target,ccz_share,supply_pressure,imbalance,supply_ccz_share,uniform_mix_mismatch,uniform_waste,concurrency,decision_sites,stages,max_stage_width,serial_fraction,mean_variants_per_site,min_cross_resource_cost_ratio,families,headroom_over_best_simple,headroom_over_uniform,oracle_exhaustive,fails
grover_c8_i2,grover,0.5,0.1,0.7253,1.3636,0.4232,0.1639,0.4014,1,4,4,1,1.0,4.5,1.0,2,0.0873,0.0873,1,1
grover_c8_i2,grover,0.5,0.25,0.8199,1.0909,0.4783,0.219,0.3263,1,4,4,1,1.0,4.5,1.0,2,0.0913,0.0913,1,1
grover_c8_i2,grover,0.5,0.5,0.9429,1.2222,0.5501,0.0381,0.1958,1,4,4,1,1.0,4.5,1.0,2,0.1541,0.1541,1,1
grover_c8_i2,grover,0.5,0.75,1.4302,3.6667,0.7858,0.2142,0.2216,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,0.5,0.9,1.4302,3.6667,0.7858,0.2142,0.2216,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,1.0,0.1,0.4599,2.7273,0.2683,0.009,0.6204,1,4,4,1,1.0,4.5,1.0,2,0.0873,0.0873,1,1
grover_c8_i2,grover,1.0,0.25,0.5388,2.1818,0.3143,0.055,0.5554,1,4,4,1,1.0,4.5,1.0,2,0.0873,0.0873,1,1
grover_c8_i2,grover,1.0,0.5,0.5272,1.2222,0.55,0.45,0.485,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,1.0,0.75,0.6803,2.4444,0.7097,0.2903,0.3354,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,1.0,0.9,0.9342,11.0,0.9167,0.0833,0.4072,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,2.0,0.1,0.3049,5.4545,0.155,0.155,0.7178,1,4,4,1,1.0,4.5,1.0,2,0.1161,0.1161,1,1
grover_c8_i2,grover,2.0,0.25,0.3013,2.1818,0.3143,0.6857,0.7057,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c8_i2,grover,2.0,0.5,0.5649,1.0,0.5,0.5,0.6766,1,4,4,1,1.0,4.5,1.0,2,0.0359,0.0359,1,0
grover_c8_i2,grover,2.0,0.75,0.5754,2.4444,0.7097,0.2903,0.6516,1,4,4,1,1.0,4.5,1.0,2,0.0727,0.0727,1,1
grover_c8_i2,grover,2.0,0.9,0.8433,9.1667,0.9016,0.0984,0.1866,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
heterostage_l3,heterostage,0.25,0.1,2.6416,1.8333,0.6471,0.0499,0.0817,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.25,0.25,2.6416,1.8333,0.6471,0.0499,0.0817,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.25,0.5,3.2077,3.6667,0.7858,0.2142,0.2203,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.25,0.75,3.2077,3.6667,0.7858,0.2142,0.2203,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.25,0.9,3.2077,3.6667,0.7858,0.2142,0.2203,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.5,0.1,2.1197,1.3636,0.4232,0.0405,0.106,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.5,0.25,1.9525,1.0909,0.4783,0.2187,0.3212,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.5,0.5,2.2454,1.2222,0.5501,0.1469,0.2194,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.5,0.75,3.2077,3.6667,0.7858,0.2142,0.2203,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,0.5,0.9,3.2077,3.6667,0.7858,0.2142,0.2203,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,1.0,0.1,1.2168,2.7273,0.2683,0.1016,0.1737,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,1.0,0.25,1.5747,2.1818,0.3143,0.0684,0.1919,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,1.0,0.5,1.1227,1.2222,0.55,0.147,0.2437,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,1.0,0.75,1.4486,2.4444,0.7097,0.0127,0.0992,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,1.0,0.9,1.2474,11.0,0.9167,0.0833,0.1295,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,2.0,0.1,0.7027,5.4545,0.155,0.0117,0.3188,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,2.0,0.25,0.7873,2.1818,0.3143,0.0684,0.2285,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
heterostage_l3,heterostage,2.0,0.5,0.8351,1.0,0.5,0.1173,0.2768,3,3,1,3,0.0,5.0,1.0,3,0.0,0.0,1,0
