family,kernel,concurrency,size,decision_sites,assignment_space,symmetric_space,capacity_target,ccz_share,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,sim_descent_regret,oracle_heterogeneity,oracle_ccz_share_of_demand,seconds_uniform_oracle,seconds_sim_descent,seconds_global_oracle
trotter,trotter_t3_l1_b10,3,10,3,125,35,1.0,0.5,186,126,two_term_descent,126,126,1,0.3226,0.0,1.0,0.3333,0.6667,0.021,0.3111,0.0944
trotter,trotter_t3_l1_b10,3,10,3,125,35,1.0,0.75,186,156,two_term_descent,156,156,1,0.1613,0.0,1.0,0.3333,0.6667,0.0254,0.4078,0.1131
trotter,trotter_t4_l1_b10,4,10,4,625,70,0.25,0.25,483,363,two_term_descent,363,363,1,0.2484,0.0,1.0,0.25,0.75,0.0414,0.7323,0.3768
trotter,trotter_t4_l1_b10,4,10,4,625,70,0.25,0.5,483,442,two_term_descent,442,442,1,0.0849,0.0,1.0,0.25,0.75,0.0588,0.9919,0.4523
trotter,trotter_t4_l1_b10,4,10,4,625,70,0.25,0.75,483,442,two_term_descent,442,442,1,0.0849,0.0,1.0,0.25,0.75,0.0502,1.0535,0.5302
trotter,trotter_t4_l1_b10,4,10,4,625,70,0.5,0.25,450,243,two_term_descent,243,243,1,0.46,0.0,1.0,0.5,0.5,0.0457,0.7189,0.3252
trotter,trotter_t4_l1_b10,4,10,4,625,70,0.5,0.5,483,302,two_term_descent,302,302,1,0.3747,0.0,1.0,0.5,0.5,0.0457,0.7984,0.3628
trotter,trotter_t4_l1_b10,4,10,4,625,70,0.5,0.75,483,442,two_term_descent,442,442,1,0.0849,0.0,1.0,0.25,0.75,0.0516,1.0245,0.5048
trotter,trotter_t4_l1_b10,4,10,4,625,70,1.0,0.25,231,176,two_term_descent,176,176,1,0.2381,0.0,1.0,0.25,0.25,0.0334,0.6926,0.3109
trotter,trotter_t4_l1_b10,4,10,4,625,70,1.0,0.5,246,157,two_term_descent,157,157,1,0.3618,0.0,1.0,0.5,0.5,0.0365,0.7216,0.3045
trotter,trotter_t4_l1_b10,4,10,4,625,70,1.0,0.75,246,186,two_term_descent,186,186,1,0.2439,0.0,1.0,0.25,0.75,0.0451,0.8444,0.3734
trotter,trotter_t6_l1_b10,6,10,6,15625,210,0.25,0.25,723,483,two_term_descent,483,483,1,0.332,0.0,1.0,0.3333,0.6667,0.0696,2.2021,1.7155
trotter,trotter_t6_l1_b10,6,10,6,15625,210,0.25,0.5,723,603,two_term_descent,603,603,1,0.166,0.0,1.0,0.1667,0.8333,0.0806,2.1584,2.3965
trotter,trotter_t6_l1_b10,6,10,6,15625,210,0.25,0.75,723,603,two_term_descent,603,603,1,0.166,0.0,1.0,0.1667,0.8333,0.0906,2.3549,2.4363
trotter,trotter_t6_l1_b10,6,10,6,15625,210,0.5,0.25,670,363,two_term_descent,363,363,1,0.4582,0.0,1.0,0.5,0.5,0.0658,1.7914,1.51
trotter,trotter_t6_l1_b10,6,10,6,15625,210,0.5,0.5,723,449,two_term_descent,449,449,1,0.379,0.0,1.0,0.5,0.5,0.0704,1.9097,1.5343
trotter,trotter_t6_l1_b10,6,10,6,15625,210,0.5,0.75,723,603,two_term_descent,603,603,1,0.166,0.0,1.0,0.1667,0.8333,0.078,1.8614,1.9226
trotter,trotter_t6_l1_b10,6,10,6,15625,210,1.0,0.25,341,243,two_term_descent,243,243,1,0.2874,0.0,1.0,0.3333,0.3333,0.0553,1.2479,1.2238
trotter,trotter_t6_l1_b10,6,10,6,15625,210,1.0,0.5,366,231,two_term_descent,231,231,1,0.3689,0.0,1.0,0.5,0.5,0.054,1.4033,1.2042
trotter,trotter_t6_l1_b10,6,10,6,15625,210,1.0,0.75,366,302,two_term_descent,302,302,1,0.1749,0.0,1.0,0.3333,0.6667,0.0628,1.6367,1.5704
trotter,trotter_t8_l1_b10,8,10,8,390625,495,0.25,0.25,963,667,two_term_descent,667,667,1,0.3074,0.0,1.0,0.375,0.625,0.0934,3.2846,5.2073
trotter,trotter_t8_l1_b10,8,10,8,390625,495,0.25,0.5,963,843,two_term_descent,843,843,1,0.1246,0.0,1.0,0.125,0.875,0.1203,3.6584,7.3273
trotter,trotter_t8_l1_b10,8,10,8,390625,495,0.25,0.75,963,843,two_term_descent,843,843,1,0.1246,0.0,1.0,0.125,0.875,0.1216,3.7882,6.9626
trotter,trotter_t8_l1_b10,8,10,8,390625,495,0.5,0.25,890,483,two_term_descent,483,483,1,0.4573,0.0,1.0,0.5,0.5,0.076,2.5499,3.7928
trotter,trotter_t8_l1_b10,8,10,8,390625,495,0.5,0.5,963,596,two_term_descent,596,596,1,0.3811,0.0,1.0,0.5,0.5,0.0757,2.8222,4.8742
trotter,trotter_t8_l1_b10,8,10,8,390625,495,0.5,0.75,963,843,two_term_descent,843,843,1,0.1246,0.0,1.0,0.125,0.875,0.1152,3.9779,7.6331
