program,source,cliffords,gates,decision_sites,stages,max_stage_width,model,capacity_or_tiles,ccz_share,t_rate,ccz_rate,supply_pressure,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_stage_dp_r5,seconds_stage_dp_r5,makespan_stage_dp_sim,seconds_stage_dp_sim,seconds_sim_descent,makespan_reference,reference_exhaustive,reference_heterogeneity,reference_ccz_fraction,best_simple,makespan_best_simple,headroom_over_best_simple,headroom_over_uniform,regret_stage_dp_r5,regret_stage_dp_sim,regret_sim_descent,regret_best_simple
qmpa_add8,qmpa,kept,49,8,8,1,C,400,0.75,0.7273,0.5,0.1252,80,80,80,80,80,80,80,80,80,0.049,82,0.261,0.073,80,1,0.0,1.0,uniform_min_teq,80,0.0,0.0,1.0,1.025,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,C,800,0.5,2.5455,0.6667,0.0557,78,78,78,78,78,78,97,78,83,0.061,78,0.847,0.153,78,1,0.0,1.0,uniform_min_teq,78,0.0,0.0,1.0641,1.0,1.0,1.0
qmpa_div4,qmpa,kept,65,12,9,2,A,0.25,0.1,0.1818,0.1667,0.5869,92,92,92,92,92,92,92,89,89,0.077,108,0.177,0.056,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.023,1.2414,1.023,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.25,0.25,0.1818,0.1667,0.5869,92,92,92,92,92,92,92,89,89,0.074,108,0.172,0.057,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.023,1.2414,1.023,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.25,0.5,0.0909,0.1667,0.7126,92,92,92,92,92,92,92,89,92,0.077,125,0.18,0.073,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0575,1.4368,1.023,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.25,0.75,0.0909,0.1667,0.7126,92,92,92,92,92,92,92,89,92,0.078,125,0.181,0.075,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0575,1.4368,1.023,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.25,0.9,0.0909,0.1667,0.7126,92,92,92,92,92,92,92,89,92,0.075,125,0.172,0.072,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0575,1.4368,1.023,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.5,0.1,0.4545,0.1667,0.3837,92,92,92,92,92,92,134,87,87,0.038,98,0.181,0.074,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0,1.1264,1.0,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.5,0.25,0.3636,0.1667,0.4338,92,92,92,92,92,92,160,87,87,0.055,100,0.111,0.066,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0,1.1494,1.0,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.5,0.5,0.2727,0.1667,0.4988,92,92,92,92,92,92,92,89,87,0.055,103,0.107,0.056,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0,1.1839,1.023,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.5,0.75,0.0909,0.1667,0.7126,92,92,92,92,92,92,92,89,92,0.078,125,0.181,0.075,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0575,1.4368,1.023,1.0575
qmpa_div4,qmpa,kept,65,12,9,2,A,0.5,0.9,0.0909,0.1667,0.7126,92,92,92,92,92,92,92,89,92,0.077,125,0.182,0.075,87,1,0.0833,0.9167,uniform_min_teq,92,0.0543,0.0543,1.0575,1.4368,1.023,1.0575
