lambda_A,lambda_C,lambda_B,policy,match_rate,match_rate_nontrivial,mean_regret,median_regret,p95_regret,mean_regret_nontrivial,median_regret_nontrivial,p95_regret_nontrivial
0.0,0.0,0.005,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12235848954956093,0.0,0.6621621621621621,0.33613329148484905,0.183568677792041,0.9390243902439024
0.0,0.0,0.005,always_increase_B,0.9100274725274725,0.7366255144032922,0.042946888866893816,0.0,0.23809523809523814,0.1269129807648886,0.0,0.8073170731707318
0.0,0.0,0.005,always_increase_C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.005,always_smooth,0.9100274725274725,0.7366255144032922,0.046801288558602556,0.0,0.26315789473684204,0.13846031811288845,0.0,0.8571428571428572
0.0,0.0,0.005,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.005,random,0.842032967032967,0.5823045267489712,0.062104722182905504,0.0,0.33766233766233755,0.18019540407344714,0.0,0.894736842105263
0.0,0.0,0.005,regime_aware,0.9629120879120879,0.8888888888888888,0.0034151947816234247,0.0,0.0,0.01023153004535742,0.0,0.09589041095890405
0.0,0.0,0.01,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12235848954956093,0.0,0.6621621621621621,0.33613329148484905,0.183568677792041,0.9390243902439024
0.0,0.0,0.01,always_increase_B,0.9100274725274725,0.7366255144032922,0.04971886688887184,0.0,0.3092307692307692,0.14720104660851002,0.0,0.894736842105263
0.0,0.0,0.01,always_increase_C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01,always_smooth,0.9100274725274725,0.7366255144032922,0.046801288558602556,0.0,0.26315789473684204,0.13846031811288845,0.0,0.8571428571428572
0.0,0.0,0.01,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01,random,0.823489010989011,0.5740740740740741,0.062303640715441776,0.0,0.36363636363636354,0.17842912569889888,0.0,0.8571428571428572
0.0,0.0,0.01,regime_aware,0.9629120879120879,0.8888888888888888,0.006073161814590457,0.0,0.0,0.01819449300832038,0.0,0.15068493150684925
0.0,0.0,0.02,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12235848954956093,0.0,0.6621621621621621,0.33613329148484905,0.183568677792041,0.9390243902439024
0.0,0.0,0.02,always_increase_B,0.9100274725274725,0.7366255144032922,0.06326282293282788,0.0,0.48,0.1877771782957528,0.0,0.9304761904761905
0.0,0.0,0.02,always_increase_C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,always_smooth,0.9100274725274725,0.7366255144032922,0.046801288558602556,0.0,0.26315789473684204,0.13846031811288845,0.0,0.8571428571428572
0.0,0.0,0.02,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,random,0.8282967032967034,0.565843621399177,0.06341938842841327,0.0,0.36986301369863006,0.1841233463983062,0.0,0.8673170731707316
0.0,0.0,0.02,regime_aware,0.9629120879120879,0.8888888888888888,0.011389095880524525,0.0,0.0,0.03412041893424631,0.0,0.28
0.0,0.0,0.05,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12235848954956093,0.0,0.6621621621621621,0.33613329148484905,0.183568677792041,0.9390243902439024
0.0,0.0,0.05,always_increase_B,0.9100274725274725,0.7366255144032922,0.10389469106469601,0.0,0.894736842105263,0.30950557335748125,0.0,1.6
0.0,0.0,0.05,always_increase_C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05,always_smooth,0.9100274725274725,0.7366255144032922,0.046801288558602556,0.0,0.26315789473684204,0.13846031811288845,0.0,0.8571428571428572
0.0,0.0,0.05,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05,random,0.8276098901098901,0.5637860082304527,0.06834705738996825,0.0,0.36986301369863006,0.19675222560484565,0.0,0.9285714285714286
0.0,0.0,0.05,regime_aware,0.9629120879120879,0.8888888888888888,0.027336898078326722,0.0,0.0,0.08189819671202409,0.0,0.7000000000000002
0.0,0.01,0.0,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.1213420060330774,0.0,0.6621621621621621,0.3330880239951371,0.183568677792041,0.9090243902439024
0.0,0.01,0.0,always_increase_B,0.9471153846153846,0.8477366255144033,0.035158427328432273,0.0,0.1378947368421053,0.10357964743155526,0.0,0.6773170731707316
0.0,0.01,0.0,always_increase_C,0.9608516483516484,0.8888888888888888,0.00039148351648351685,0.0,0.0,0.0011111111111111122,0.0,0.010000000000000009
0.0,0.01,0.0,always_smooth,0.9100274725274725,0.7366255144032922,0.04578480504211905,0.0,0.253157894736842,0.13541505062317652,0.0,0.8371428571428572
0.0,0.01,0.0,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,random,0.8379120879120879,0.5823045267489712,0.05546656013606942,0.0,0.3125,0.1610442208952624,0.0,0.8233333333333333
0.0,0.01,0.0,regime_aware,0.9869505494505495,0.9670781893004116,0.0007778321442607863,0.0,0.0,0.0022685670823944545,0.0,0.0
0.0,0.01,0.002,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12098074229681367,0.0,0.6621621621621621,0.33200571946838814,0.18301435406698563,0.9090243902439024
