C_budget,B_budget,policy,match_rate_to_budget_oracle,mean_regret,median_regret,p95_regret,infeasibility_rate,mean_regret_nontrivial
2,0,always_capacity_aware,0.521978021978022,0.09985445026665657,0.0,0.53125,0.0,0.268713782851292
2,0,always_increase_B,0.9210164835164835,0.026275833133629977,0.0,0.1728947368421052,0.07486263736263732,0.07696841873272368
2,0,always_increase_C,0.9972527472527473,5.1594746716697984e-05,0.0,0.0,0.013736263736263687,0.0001545719160895314
2,0,always_smooth,0.9210164835164835,0.026275833133629977,0.0,0.1728947368421052,0.0,0.07696841873272368
2,0,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
2,0,random,0.8289835164835165,0.05143188730523039,0.0,0.33766233766233755,0.012362637362637319,0.14861103775332593
2,0,regime_aware,0.9601648351648352,0.005153300381128928,0.0,0.0,0.039835164835164805,0.015438694145933579
2,4,always_capacity_aware,0.521978021978022,0.09987693785970868,0.0,0.53125,0.0,0.26878115308891315
2,4,always_increase_B,0.9244505494505495,0.025916028433130192,0.0,0.1728947368421052,0.06868131868131866,0.07589048530900415
2,4,always_increase_C,0.9965659340659341,7.408233976880715e-05,0.0,0.0,0.013736263736263687,0.00022194215371066503
2,4,always_smooth,0.9203296703296703,0.02629832072668209,0.0,0.1728947368421052,0.0,0.07703578897034483
2,4,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
2,4,random,0.8324175824175825,0.04876892852118383,0.0,0.3225806451612905,0.012362637362637319,0.13964226893095422
2,4,regime_aware,0.9608516483516484,0.005077775867240359,0.0,0.0,0.038461538461538436,0.015212431404736548
2,8,always_capacity_aware,0.521978021978022,0.09998579315665407,0.0,0.53125,0.0,0.2691072710155643
2,8,always_increase_B,0.9292582417582418,0.024607081676349635,0.0,0.1728947368421052,0.055631868131868156,0.07196903165083031
2,8,always_increase_C,0.9951923076923077,0.00018293763671419045,0.0,0.0,0.013736263736263687,0.0005480600803618545
2,8,always_smooth,0.9189560439560439,0.026407176023627472,0.0,0.1728947368421052,0.0,0.07736190689699601
2,8,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
2,8,random,0.8385989010989011,0.04587140250035665,0.0,0.2543835616438357,0.008241758241758212,0.13176139951016716
2,8,regime_aware,0.9615384615384616,0.00502560875927236,0.0,0.0,0.03640109890109888,0.01505614476028921
2,16,always_capacity_aware,0.521978021978022,0.10053387386233706,0.0,0.53125,0.0,0.2707492576564582
2,16,always_increase_B,0.9409340659340659,0.021859621362093174,0.0,0.11865853658536585,0.03434065934065933,0.06373795712910725
2,16,always_increase_C,0.9917582417582418,0.0007310183423971775,0.0,0.0,0.013736263736263687,0.002190046721255742
2,16,always_smooth,0.915521978021978,0.02695525672931046,0.0,0.18547945205479444,0.0,0.07900389353788989
2,16,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
2,16,random,0.8262362637362637,0.04598186624283989,0.0,0.3083870967741935,0.006868131868131844,0.12861575535090253
2,16,regime_aware,0.967032967032967,0.003989304427919827,0.0,0.0,0.027472527472527486,0.011951496393109606
