program,kernel,regime,rate,policy,makespan,ancillas,data_qubits,space_time_volume,volume_ratio_vs_t_depth,time_ratio_vs_t_depth
toffoli_ladder_n3_l2,toffoli,rate0.2,0.2,min_t_count,128,6,8,1792,0.2569,0.5872
toffoli_ladder_n3_l2,toffoli,rate0.2,0.2,share_aware_greedy,128,6,8,1792,0.2569,0.5872
toffoli_ladder_n3_l2,toffoli,rate0.2,0.2,resource_aware,128,6,8,1792,0.2569,0.5872
toffoli_ladder_n3_l2,toffoli,rate0.5,0.5,min_t_depth,95,24,8,3040,1.0,1.0
toffoli_ladder_n3_l2,toffoli,rate0.5,0.5,min_t_count,59,6,8,826,0.2717,0.6211
toffoli_ladder_n3_l2,toffoli,rate0.5,0.5,share_aware_greedy,59,6,8,826,0.2717,0.6211
toffoli_ladder_n3_l2,toffoli,rate0.5,0.5,resource_aware,59,6,8,826,0.2717,0.6211
toffoli_ladder_n3_l2,toffoli,rate1,1.0,min_t_depth,54,24,8,1728,1.0,1.0
toffoli_ladder_n3_l2,toffoli,rate1,1.0,min_t_count,38,6,8,532,0.3079,0.7037
toffoli_ladder_n3_l2,toffoli,rate1,1.0,share_aware_greedy,38,6,8,532,0.3079,0.7037
toffoli_ladder_n3_l2,toffoli,rate1,1.0,resource_aware,38,6,8,532,0.3079,0.7037
toffoli_ladder_n3_l2,toffoli,rate2,2.0,min_t_depth,33,24,8,1056,1.0,1.0
toffoli_ladder_n3_l2,toffoli,rate2,2.0,min_t_count,34,6,8,476,0.4508,1.0303
toffoli_ladder_n3_l2,toffoli,rate2,2.0,share_aware_greedy,34,6,8,476,0.4508,1.0303
toffoli_ladder_n3_l2,toffoli,rate2,2.0,resource_aware,30,18,8,780,0.7386,0.9091
toffoli_ladder_n3_l2,toffoli,rate4,4.0,min_t_depth,30,24,8,960,1.0,1.0
toffoli_ladder_n3_l2,toffoli,rate4,4.0,min_t_count,33,6,8,462,0.4813,1.1
toffoli_ladder_n3_l2,toffoli,rate4,4.0,share_aware_greedy,33,6,8,462,0.4813,1.1
toffoli_ladder_n3_l2,toffoli,rate4,4.0,resource_aware,29,21,8,841,0.876,0.9667
toffoli_ladder_n3_l2,toffoli,rate8,8.0,min_t_depth,28,24,8,896,1.0,1.0
toffoli_ladder_n3_l2,toffoli,rate8,8.0,min_t_count,33,6,8,462,0.5156,1.1786
toffoli_ladder_n3_l2,toffoli,rate8,8.0,share_aware_greedy,28,24,8,896,1.0,1.0
toffoli_ladder_n3_l2,toffoli,rate8,8.0,resource_aware,28,24,8,896,1.0,1.0
trotter_t4_l2_b32,trotter,rate0.1,0.1,min_t_depth,5122,128,8,696592,1.0,1.0
trotter_t4_l2_b32,trotter,rate0.1,0.1,min_t_count,2562,0,8,20496,0.0294,0.5002
trotter_t4_l2_b32,trotter,rate0.1,0.1,share_aware_greedy,2562,0,8,20496,0.0294,0.5002
trotter_t4_l2_b32,trotter,rate0.1,0.1,resource_aware,2562,0,8,20496,0.0294,0.5002
trotter_t4_l2_b32,trotter,rate0.2,0.2,min_t_depth,2567,128,8,349112,1.0,1.0
trotter_t4_l2_b32,trotter,rate0.2,0.2,min_t_count,1287,0,8,10296,0.0295,0.5014
trotter_t4_l2_b32,trotter,rate0.2,0.2,share_aware_greedy,1287,0,8,10296,0.0295,0.5014
trotter_t4_l2_b32,trotter,rate0.2,0.2,resource_aware,1287,0,8,10296,0.0295,0.5014
trotter_t4_l2_b32,trotter,rate0.5,0.5,min_t_depth,1034,128,8,140624,1.0,1.0
trotter_t4_l2_b32,trotter,rate0.5,0.5,min_t_count,522,0,8,4176,0.0297,0.5048
trotter_t4_l2_b32,trotter,rate0.5,0.5,share_aware_greedy,522,0,8,4176,0.0297,0.5048
trotter_t4_l2_b32,trotter,rate0.5,0.5,resource_aware,522,0,8,4176,0.0297,0.5048
trotter_t4_l2_b32,trotter,rate1,1.0,min_t_depth,523,128,8,71128,1.0,1.0
trotter_t4_l2_b32,trotter,rate1,1.0,min_t_count,267,0,8,2136,0.03,0.5105
trotter_t4_l2_b32,trotter,rate1,1.0,share_aware_greedy,267,0,8,2136,0.03,0.5105
trotter_t4_l2_b32,trotter,rate1,1.0,resource_aware,267,0,8,2136,0.03,0.5105
trotter_t4_l2_b32,trotter,rate2,2.0,min_t_depth,267,128,8,36312,1.0,1.0
trotter_t4_l2_b32,trotter,rate2,2.0,min_t_count,143,0,8,1144,0.0315,0.5356
trotter_t4_l2_b32,trotter,rate2,2.0,share_aware_greedy,143,0,8,1144,0.0315,0.5356
trotter_t4_l2_b32,trotter,rate2,2.0,resource_aware,143,0,8,1144,0.0315,0.5356
trotter_t4_l2_b32,trotter,rate4,4.0,min_t_depth,139,128,8,18904,1.0,1.0
trotter_t4_l2_b32,trotter,rate4,4.0,min_t_count,142,0,8,1136,0.0601,1.0216
trotter_t4_l2_b32,trotter,rate4,4.0,share_aware_greedy,95,16,8,2280,0.1206,0.6835
trotter_t4_l2_b32,trotter,rate4,4.0,resource_aware,96,22,8,2880,0.1523,0.6906
trotter_t4_l2_b32,trotter,rate8,8.0,min_t_depth,77,128,8,10472,1.0,1.0
trotter_t4_l2_b32,trotter,rate8,8.0,min_t_count,142,0,8,1136,0.1085,1.8442
trotter_t4_l2_b32,trotter,rate8,8.0,share_aware_greedy,63,32,8,2520,0.2406,0.8182
trotter_t4_l2_b32,trotter,rate8,8.0,resource_aware,65,56,8,4160,0.3972,0.8442
