program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
grover_c8_i2,grover,rate0.5,0.5,t_count_only,T-count and average supply rate,255,255,1.0,1,0.0039,0.0196,1
grover_c8_i2,grover,rate1,1.0,deps_only,dependencies only (what T-depth sees),195,154,1.2662,1,0.2924,0.6513,0
grover_c8_i2,grover,rate1,1.0,deps_plus_count,dependencies + T-count,161,154,1.0455,1,0.0258,0.1,1
grover_c8_i2,grover,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,154,154,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate1,1.0,sccp,dependencies + arrival timing + buffer,154,154,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,154,154,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate1,1.0,t_count_only,T-count and average supply rate,200,154,1.2987,1,0.1003,0.4118,0
grover_c8_i2,grover,rate2,2.0,deps_only,dependencies only (what T-depth sees),103,95,1.0842,1,0.107,0.3398,0
grover_c8_i2,grover,rate2,2.0,deps_plus_count,dependencies + T-count,100,95,1.0526,1,0.0592,0.2031,1
grover_c8_i2,grover,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,104,95,1.0947,1,0.0156,0.1562,1
grover_c8_i2,grover,rate2,2.0,sccp,dependencies + arrival timing + buffer,104,95,1.0947,1,0.0133,0.1328,1
grover_c8_i2,grover,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,104,95,1.0947,1,0.0133,0.1328,1
grover_c8_i2,grover,rate2,2.0,t_count_only,T-count and average supply rate,190,95,2.0,1,0.3355,0.6818,0
grover_c8_i2,grover,rate4,4.0,deps_only,dependencies only (what T-depth sees),78,78,1.0,1,0.0575,0.1282,1
grover_c8_i2,grover,rate4,4.0,deps_plus_count,dependencies + T-count,78,78,1.0,1,0.0575,0.1282,1
grover_c8_i2,grover,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,78,78,1.0,1,0.0087,0.0513,1
grover_c8_i2,grover,rate4,4.0,sccp,dependencies + arrival timing + buffer,78,78,1.0,1,0.0087,0.0513,1
grover_c8_i2,grover,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,78,78,1.0,1,0.0087,0.0513,1
grover_c8_i2,grover,rate4,4.0,t_count_only,T-count and average supply rate,186,78,2.3846,1,0.5977,0.8182,0
grover_c8_i2,grover,rate8,8.0,deps_only,dependencies only (what T-depth sees),73,73,1.0,1,0.0449,0.0685,1
grover_c8_i2,grover,rate8,8.0,deps_plus_count,dependencies + T-count,73,73,1.0,1,0.0449,0.0685,1
grover_c8_i2,grover,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,73,73,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate8,8.0,sccp,dependencies + arrival timing + buffer,73,73,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,73,73,1.0,1,0.0,0.0,1
grover_c8_i2,grover,rate8,8.0,t_count_only,T-count and average supply rate,185,73,2.5342,1,0.7533,0.8864,0
mixed_w32_c16_l1,mixed,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),3682,2162,1.7031,1,0.9471,0.9758,0
mixed_w32_c16_l1,mixed,rate0.1,0.1,deps_plus_count,dependencies + T-count,2162,2162,1.0,1,0.0025,0.0037,1
mixed_w32_c16_l1,mixed,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,2162,2162,1.0,1,0.0,0.0,1
mixed_w32_c16_l1,mixed,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,2162,2162,1.0,1,0.0,0.0,1
mixed_w32_c16_l1,mixed,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,2162,2162,1.0,1,0.0,0.0,1
mixed_w32_c16_l1,mixed,rate0.1,0.1,t_count_only,T-count and average supply rate,2162,2162,1.0,1,0.0025,0.0037,1
mixed_w32_c16_l1,mixed,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),1847,1087,1.6992,1,0.8946,0.9518,0
mixed_w32_c16_l1,mixed,rate0.2,0.2,deps_plus_count,dependencies + T-count,1087,1087,1.0,1,0.0018,0.0028,1
mixed_w32_c16_l1,mixed,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,1087,1087,1.0,1,0.0,0.0,1
mixed_w32_c16_l1,mixed,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,1087,1087,1.0,1,0.0,0.0,1
mixed_w32_c16_l1,mixed,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,1087,1087,1.0,1,0.0,0.0,1
mixed_w32_c16_l1,mixed,rate0.2,0.2,t_count_only,T-count and average supply rate,1087,1087,1.0,1,0.0018,0.0028,1
mixed_w32_c16_l1,mixed,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),746,447,1.6689,1,0.7403,0.8807,0
mixed_w32_c16_l1,mixed,rate0.5,0.5,deps_plus_count,dependencies + T-count,447,447,1.0,1,0.0016,0.0112,1
mixed_w32_c16_l1,mixed,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,447,447,1.0,1,0.0004,0.0045,1
mixed_w32_c16_l1,mixed,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,447,447,1.0,1,0.0004,0.0045,1
mixed_w32_c16_l1,mixed,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,447,447,1.0,1,0.0004,0.0045,1
mixed_w32_c16_l1,mixed,rate0.5,0.5,t_count_only,T-count and average supply rate,447,447,1.0,1,0.0016,0.0112,1
mixed_w32_c16_l1,mixed,rate1,1.0,deps_only,dependencies only (what T-depth sees),379,248,1.5282,1,0.5233,0.7652,0
mixed_w32_c16_l1,mixed,rate1,1.0,deps_plus_count,dependencies + T-count,248,248,1.0,1,0.0363,0.1414,1
mixed_w32_c16_l1,mixed,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,248,248,1.0,1,0.0053,0.0848,1
mixed_w32_c16_l1,mixed,rate1,1.0,sccp,dependencies + arrival timing + buffer,248,248,1.0,1,0.0042,0.0291,1
mixed_w32_c16_l1,mixed,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,248,248,1.0,1,0.0042,0.0291,1
