program,kernel,concurrency,regime,rate,clifford_weight,num_candidates,t_depth_choice,best_choice,t_depth_makespan,t_count_makespan,best_makespan,regret_t_depth,regret_t_count,selection_reversal,pairs_compared,pairs_reversed,pair_reversal_rate,min_t_depth,best_candidate_t_depth,t_depth_ratio_of_best
modexp_w32_s2,modexp,1,unconstrained,496.0,0,6,blocked4x4,blocked4x4,64,248,64,1.0,3.875,0,14,0,0.0,64,64,1.0
reduction_tree_mult_w32_r4,multiplier,2,rate0.1,0.1,1,6,blocked4x3,ripplex3,7323,3723,3723,1.967,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate0.2,0.2,1,6,blocked4x3,ripplex3,3668,1868,1868,1.9636,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate0.5,0.5,1,6,blocked4x3,ripplex3,1475,755,755,1.9536,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate1,1.0,1,6,blocked4x3,ripplex3,744,419,419,1.7757,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate2,2.0,1,6,blocked4x3,ripplex3,378,325,325,1.1631,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate4,4.0,1,6,blocked4x3,blocked4x3,195,324,195,1.0,1.6615,0,14,2,0.1429,32,32,1.0
reduction_tree_mult_w32_r4,multiplier,2,rate8,8.0,1,6,blocked4x3,blocked4x3,123,324,123,1.0,2.6341,0,14,1,0.0714,32,32,1.0
reduction_tree_mult_w32_r4,multiplier,2,unconstrained,372.0,1,6,blocked4x3,blocked4x3,98,318,98,1.0,3.2449,0,14,1,0.0714,32,32,1.0
reduction_tree_mult_w32_r4,multiplier,2,rate0.1,0.1,0,6,blocked4x3,ripplex3,7320,3720,3720,1.9677,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate0.2,0.2,0,6,blocked4x3,ripplex3,3665,1865,1865,1.9651,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate0.5,0.5,0,6,blocked4x3,ripplex3,1472,752,752,1.9574,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate1,1.0,0,6,blocked4x3,ripplex3,741,381,381,1.9449,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate2,2.0,0,6,blocked4x3,ripplex3,375,195,195,1.9231,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate4,4.0,0,6,blocked4x3,ripplex3,192,133,133,1.4436,1.0,1,14,5,0.3571,32,124,3.875
reduction_tree_mult_w32_r4,multiplier,2,rate8,8.0,0,6,blocked4x3,blocked8x3,101,133,101,1.0,1.3168,0,14,0,0.0,32,40,1.25
reduction_tree_mult_w32_r4,multiplier,2,unconstrained,372.0,0,6,blocked4x3,blocked4x3,32,124,32,1.0,3.875,0,14,0,0.0,32,32,1.0
reduction_tree_mult_w32_r8,multiplier,4,rate0.1,0.1,1,6,blocked4x7,ripplex7,17083,8683,8683,1.9674,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate0.2,0.2,1,6,blocked4x7,ripplex7,8548,4348,4348,1.966,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate0.5,0.5,1,6,blocked4x7,ripplex7,3427,1747,1747,1.9616,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate1,1.0,1,6,blocked4x7,ripplex7,1720,915,915,1.8798,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate2,2.0,1,6,blocked4x7,ripplex7,866,578,578,1.4983,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate4,4.0,1,6,blocked4x7,blocked4x7,439,484,439,1.0,1.1025,0,14,2,0.1429,48,48,1.0
reduction_tree_mult_w32_r8,multiplier,4,rate8,8.0,1,6,blocked4x7,blocked4x7,248,483,248,1.0,1.9476,0,14,1,0.0714,48,48,1.0
reduction_tree_mult_w32_r8,multiplier,4,unconstrained,868.0,1,6,blocked4x7,blocked4x7,147,477,147,1.0,3.2449,0,14,1,0.0714,48,48,1.0
reduction_tree_mult_w32_r8,multiplier,4,rate0.1,0.1,0,6,blocked4x7,ripplex7,17080,8680,8680,1.9677,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate0.2,0.2,0,6,blocked4x7,ripplex7,8545,4345,4345,1.9666,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate0.5,0.5,0,6,blocked4x7,ripplex7,3424,1744,1744,1.9633,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate1,1.0,0,6,blocked4x7,ripplex7,1717,877,877,1.9578,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate2,2.0,0,6,blocked4x7,ripplex7,863,443,443,1.9481,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate4,4.0,0,6,blocked4x7,ripplex7,436,257,257,1.6965,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,rate8,8.0,0,6,blocked4x7,ripplex7,223,195,195,1.1436,1.0,1,14,5,0.3571,48,186,3.875
reduction_tree_mult_w32_r8,multiplier,4,unconstrained,868.0,0,6,blocked4x7,blocked4x7,48,186,48,1.0,3.875,0,14,0,0.0,48,48,1.0
schoolbook_mult_w64_r3,multiplier,1,rate0.1,0.1,1,7,blocked4x3,ripplex3,15003,7563,7563,1.9837,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate0.2,0.2,1,7,blocked4x3,ripplex3,7508,3788,3788,1.982,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate0.5,0.5,1,7,blocked4x3,ripplex3,3011,1523,1523,1.977,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate1,1.0,1,7,blocked4x3,ripplex3,1512,964,964,1.5685,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate2,2.0,1,7,blocked4x3,blocked32x3,762,963,762,1.0,1.2638,0,20,0,0.0,60,192,3.2
schoolbook_mult_w64_r3,multiplier,1,rate4,4.0,1,7,blocked4x3,blocked8x3,387,963,387,1.0,2.4884,0,20,2,0.1,60,72,1.2
schoolbook_mult_w64_r3,multiplier,1,rate8,8.0,1,7,blocked4x3,blocked8x3,221,963,218,1.0138,4.4174,1,20,3,0.15,60,72,1.2
schoolbook_mult_w64_r3,multiplier,1,unconstrained,756.0,1,7,blocked4x3,blocked4x3,183,957,183,1.0,5.2295,0,20,1,0.05,60,60,1.0
schoolbook_mult_w64_r3,multiplier,1,rate0.1,0.1,0,7,blocked4x3,ripplex3,15000,7560,7560,1.9841,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate0.2,0.2,0,7,blocked4x3,ripplex3,7505,3785,3785,1.9828,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate0.5,0.5,0,7,blocked4x3,ripplex3,3008,1520,1520,1.9789,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate1,1.0,0,7,blocked4x3,ripplex3,1509,765,765,1.9725,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate2,2.0,0,7,blocked4x3,ripplex3,759,387,387,1.9612,1.0,1,20,6,0.3,60,378,6.3
schoolbook_mult_w64_r3,multiplier,1,rate4,4.0,0,7,blocked4x3,blocked32x3,384,387,384,1.0,1.0078,0,20,0,0.0,60,192,3.2
schoolbook_mult_w64_r3,multiplier,1,rate8,8.0,0,7,blocked4x3,blocked16x3,197,387,197,1.0,1.9645,0,20,2,0.1,60,108,1.8
schoolbook_mult_w64_r3,multiplier,1,unconstrained,756.0,0,7,blocked4x3,blocked4x3,60,378,60,1.0,6.3,0,20,0,0.0,60,60,1.0
modexp_w64_s2,modexp,1,rate0.1,0.1,1,7,blocked4x4,ripplex4,20003,10083,10083,1.9838,1.0,1,20,6,0.3,80,504,6.3
