program,kernel,concurrency,decision_sites,assignment_space,regime,rate,buffer,reference,reference_exhaustive,reference_heterogeneous,makespan_min_t_count,makespan_min_t_depth,makespan_best_static,makespan_legacy_smooth,makespan_local_resource_greedy,makespan_share_aware_greedy,makespan_best_uniform,makespan_resource_aware,regret_min_t_count,regret_min_t_depth,regret_best_static,regret_legacy_smooth,regret_local_resource_greedy,regret_share_aware_greedy,regret_best_uniform,regret_resource_aware,strongest_baseline,strongest_baseline_makespan,headroom_available,headroom_captured,ours_heterogeneous,ours_profile,ours_cost_evaluations,ours_ancillas,best_static_ancillas,ours_overflow,ours_stalls
modexp_w32_s2,modexp,1,4,1296,rate0.2,0.2,32,2488,1,0,2488,4888,2488,4888,2488,2488,2488,2488,1.0,1.9646,1.0,1.9646,1.0,1.0,1.0,1.0,min_t_count,2488,0,,0,ripplex4,83,4,4,0,1852
modexp_w32_s2,modexp,1,4,1296,rate0.5,0.5,32,1003,1,0,1003,1963,1003,1963,1003,1003,1003,1003,1.0,1.9571,1.0,1.9571,1.0,1.0,1.0,1.0,min_t_count,1003,0,,0,ripplex4,83,4,4,0,367
modexp_w32_s2,modexp,1,4,1296,rate1,1.0,32,643,1,0,643,988,643,988,643,643,643,643,1.0,1.5365,1.0,1.5365,1.0,1.0,1.0,1.0,min_t_count,643,0,,0,ripplex4,83,4,4,107,7
modexp_w32_s2,modexp,1,4,1296,rate2,2.0,32,500,1,0,642,500,500,503,500,500,500,528,1.284,1.0,1.0,1.006,1.0,1.0,1.0,1.056,min_t_depth,500,0,,1,"blocked4x3,ripplex1",183,73,96,176,346
modexp_w32_s2,modexp,1,4,1296,rate4,4.0,32,256,1,1,642,256,256,263,256,256,256,256,2.5078,1.0,1.0,1.0273,1.0,1.0,1.0,1.0,min_t_depth,256,0,,0,blocked4x4,83,96,96,0,225
modexp_w32_s2,modexp,1,4,1296,rate8,8.0,32,206,1,0,642,206,206,204,206,206,206,206,3.1165,1.0,1.0,0.9903,1.0,1.0,1.0,1.0,legacy_smooth,204,-2,,0,blocked4x4,83,96,96,576,65
modexp_w64_s2,modexp,1,4,2401,rate0.1,0.1,32,10083,1,0,10083,20003,10083,20003,10083,10083,10083,10083,1.0,1.9838,1.0,1.9838,1.0,1.0,1.0,1.0,min_t_count,10083,0,,0,ripplex4,99,4,4,0,8807
modexp_w64_s2,modexp,1,4,2401,rate0.2,0.2,32,5048,1,0,5048,10008,5048,10008,5048,5048,5048,5048,1.0,1.9826,1.0,1.9826,1.0,1.0,1.0,1.0,min_t_count,5048,0,,0,ripplex4,99,4,4,0,3772
modexp_w64_s2,modexp,1,4,2401,rate0.5,0.5,32,2027,1,0,2027,4011,2027,4011,2027,2027,2027,2027,1.0,1.9788,1.0,1.9788,1.0,1.0,1.0,1.0,min_t_count,2027,0,,0,ripplex4,99,4,4,0,751
modexp_w64_s2,modexp,1,4,2401,rate1,1.0,32,1283,1,0,1283,2012,1283,2012,1283,1283,1283,1283,1.0,1.5682,1.0,1.5682,1.0,1.0,1.0,1.0,min_t_count,1283,0,,0,ripplex4,99,4,4,235,7
modexp_w64_s2,modexp,1,4,2401,rate2,2.0,32,1012,1,0,1282,1012,1012,1015,1012,1012,1012,1072,1.2668,1.0,1.0,1.003,1.0,1.0,1.0,1.0593,min_t_depth,1012,0,,1,"blocked4x3,ripplex1",195,145,192,368,732
modexp_w64_s2,modexp,1,4,2401,rate4,4.0,32,512,1,1,1282,512,512,523,512,512,512,512,2.5039,1.0,1.0,1.0215,1.0,1.0,1.0,1.0,min_t_depth,512,0,,0,blocked4x4,99,192,192,0,484
modexp_w64_s2,modexp,1,4,2401,rate8,8.0,32,288,1,0,1282,292,292,295,288,288,288,291,4.4514,1.0139,1.0139,1.0243,1.0,1.0,1.0,1.0104,local_resource_greedy,288,0,,1,"blocked4x3,blocked8x1",171,168,192,232,204
oracle_bank_c16_l4,oracle_bank,4,4,16,rate0.1,0.1,32,2403,1,0,2403,2403,2403,2403,2403,2403,2403,2403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,2403,0,,0,treex4,15,96,96,0,2395
oracle_bank_c16_l4,oracle_bank,4,4,16,rate0.2,0.2,32,1208,1,0,1208,1208,1208,1208,1208,1208,1208,1208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,1208,0,,0,treex4,15,96,96,0,1200
oracle_bank_c16_l4,oracle_bank,4,4,16,rate0.5,0.5,32,491,1,0,491,491,491,491,491,491,491,491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,491,0,,0,treex4,15,96,96,0,483
oracle_bank_c16_l4,oracle_bank,4,4,16,rate1,1.0,32,252,1,0,252,252,252,252,252,252,252,252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,252,0,,0,treex4,15,96,96,0,244
oracle_bank_c16_l4,oracle_bank,4,4,16,rate2,2.0,32,132,1,0,132,132,132,132,132,132,132,132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,132,0,,0,treex4,15,96,96,0,124
oracle_bank_c16_l4,oracle_bank,4,4,16,rate4,4.0,32,74,1,0,74,74,74,74,74,74,74,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,74,0,,0,treex4,15,96,96,0,60
oracle_bank_c16_l4,oracle_bank,4,4,16,rate8,8.0,32,48,1,0,48,48,48,48,48,48,48,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,48,0,,0,treex4,15,96,96,48,28
oracle_bank_c32_l4,oracle_bank,4,4,16,rate0.1,0.1,32,4963,1,0,4963,4963,4963,4963,4963,4963,4963,4963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_count,4963,0,,0,treex4,15,192,192,0,4955
