key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
SC5|p=0.001|r=3|T|k=1|rounds=0,SC5,5,25,1,0.001,0.003,3,T,1,0,25,1,10,360,152000,201,0.0013223684210526315,0.0010054605263157895,0.001699671052631579,4,False,332.17,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|T|k=1|rounds=0,SC5,5,25,1,0.001,0.001,1,T,1,0,25,1,10,360,189359,204,0.0010773187437618493,0.0008208218252103148,0.0013822950057826668,5,False,395.52,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=30|T|k=1|rounds=0,SC5,5,25,1,0.001,0.03,30,T,1,0,25,1,10,360,38829,208,0.005356820932807952,0.004094877539983002,0.006853382780911175,3,False,119.18,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=1|T|k=1|rounds=0,SC5,5,25,1,0.002,0.002,1,T,1,0,25,1,10,360,23418,207,0.008839354342813221,0.0067550602100947986,0.011309676317362714,4,False,143.96,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=10|T|k=1|rounds=0,SC5,5,25,1,0.001,0.01,10,T,1,0,25,1,10,360,114848,201,0.0017501393145723044,0.0013308024519364727,0.0022493208414600166,4,False,276.84,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=30|T|k=1|rounds=0,SC5,5,25,1,0.002,0.06,30,T,1,0,25,1,10,360,6360,226,0.03553459119496855,0.027569182389937108,0.04484276729559748,2,False,75.54,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC7|p=0.001|r=10|R|k=2|rounds=0,SC7,7,49,1,0.001,0.01,10,R,2,0,98,0,10,528,200000,58,0.00029,0.0001705,0.0004554,8,True,839.92,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=3|T|k=1|rounds=0,SC5,5,25,1,0.002,0.006,3,T,1,0,25,1,10,360,31600,295,0.009335443037974683,0.0074651898734177215,0.01149145569620253,2,False,209.71,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=10|T|k=1|rounds=0,SC5,5,25,1,0.002,0.02,10,T,1,0,25,1,10,360,16600,205,0.012349397590361445,0.009428313253012048,0.015810843373493973,3,False,130.94,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=30|R|k=2|rounds=0,SC5,5,25,1,0.001,0.03,30,R,2,0,50,0,10,264,32047,202,0.006303242113146317,0.00479888913158798,0.008091240989796238,3,False,73.19,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
