workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,feasible
constructed_high,high_compressibility,1,24,smooth,5,12,76,76,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,1,0,73,95,22,1.3013698630136987,22,46,True
constructed_medium,medium_compressibility,1,24,capacity_aware,1,0,100,100,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,1,0,73,90,17,1.2328767123287672,17,35,True
constructed_medium,medium_compressibility,1,24,static,1,4,73,91,18,1.2465753424657535,22,39,True
constructed_medium,medium_compressibility,1,24,capacity_aware,1,4,100,100,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,1,4,73,86,13,1.178082191780822,17,25,True
constructed_medium,medium_compressibility,1,24,static,1,8,73,87,14,1.1917808219178083,22,29,True
constructed_medium,medium_compressibility,1,24,capacity_aware,1,8,100,100,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,1,8,73,82,9,1.1232876712328768,17,14,True
constructed_medium,medium_compressibility,1,24,static,1,12,73,83,10,1.1369863013698631,22,20,True
constructed_medium,medium_compressibility,1,24,capacity_aware,1,12,100,100,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,1,12,73,78,5,1.0684931506849316,17,5,True
constructed_medium,medium_compressibility,1,24,static,2,0,73,76,3,1.0410958904109588,5,6,True
constructed_medium,medium_compressibility,1,24,capacity_aware,2,0,82,82,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,2,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,2,4,73,74,1,1.0136986301369864,5,1,True
constructed_medium,medium_compressibility,1,24,capacity_aware,2,4,82,82,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,2,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,2,8,73,73,0,1.0,5,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,2,8,82,82,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,2,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,2,12,73,73,0,1.0,5,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,2,12,82,82,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,2,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,3,0,73,74,1,1.0136986301369864,3,1,True
constructed_medium,medium_compressibility,1,24,capacity_aware,3,0,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,3,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,3,4,73,73,0,1.0,3,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,3,4,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,3,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,3,8,73,73,0,1.0,3,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,3,8,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,3,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,3,12,73,73,0,1.0,3,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,3,12,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,3,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,4,0,73,74,1,1.0136986301369864,1,1,True
constructed_medium,medium_compressibility,1,24,capacity_aware,4,0,76,76,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,4,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,4,4,73,73,0,1.0,1,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,4,4,76,76,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,4,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,4,8,73,73,0,1.0,1,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,4,8,76,76,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,4,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,4,12,73,73,0,1.0,1,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,4,12,76,76,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,4,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,5,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,5,0,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,5,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,5,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,5,4,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,5,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,5,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,5,8,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,5,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,static,5,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,capacity_aware,5,12,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,1,24,smooth,5,12,73,73,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,static,1,0,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,capacity_aware,1,0,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,smooth,1,0,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,static,1,4,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,capacity_aware,1,4,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,smooth,1,4,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,static,1,8,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,capacity_aware,1,8,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,smooth,1,8,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,static,1,12,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,capacity_aware,1,12,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,smooth,1,12,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,static,2,0,100,100,0,1.0,0,0,True
constructed_low,low_compressibility,1,24,capacity_aware,2,0,100,100,0,1.0,0,0,True
