workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,static_depth_penalty,Delta_reduction_vs_static,Texe_reduction_vs_static,Delta_reduction_vs_smooth,Texe_reduction_vs_smooth,Delta_reduction_vs_ca,Texe_reduction_vs_ca
constructed_medium,medium_compressibility,0,24,capacity_aware,1,4,99,99,0,1.0,0,0,1.356164383561644,1.0,-0.1,1.0,-0.1927710843373494,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,1,4,73,83,10,1.1369863013698631,14,20,1.0,0.3333333333333333,0.07777777777777778,0.0,0.0,0.0,0.16161616161616163
constructed_medium,medium_compressibility,0,24,delivery_aware,1,4,73,83,10,1.1369863013698631,14,33,1.0,0.3333333333333333,0.07777777777777778,0.0,0.0,0.0,0.16161616161616163
constructed_medium,medium_compressibility,0,24,static,1,8,73,86,13,1.178082191780822,21,26,1.0,0.0,0.0,-0.5,-0.08860759493670886,0.0,0.13131313131313133
constructed_medium,medium_compressibility,0,24,capacity_aware,1,8,99,99,0,1.0,0,0,1.356164383561644,1.0,-0.1511627906976744,1.0,-0.25316455696202533,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,1,8,73,79,6,1.082191780821918,14,12,1.0,0.3333333333333333,0.08139534883720931,0.0,0.0,0.0,0.20202020202020202
constructed_medium,medium_compressibility,0,24,delivery_aware,1,8,73,79,6,1.082191780821918,14,25,1.0,0.3333333333333333,0.08139534883720931,0.0,0.0,0.0,0.20202020202020202
constructed_medium,medium_compressibility,0,24,static,1,12,73,82,9,1.1232876712328768,21,17,1.0,0.0,0.0,-0.5,-0.09333333333333334,0.0,0.1717171717171717
constructed_medium,medium_compressibility,0,24,capacity_aware,1,12,99,99,0,1.0,0,0,1.356164383561644,1.0,-0.2073170731707317,1.0,-0.32,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,1,12,73,75,2,1.0273972602739727,14,2,1.0,0.3333333333333333,0.08536585365853659,0.0,0.0,0.0,0.24242424242424243
constructed_medium,medium_compressibility,0,24,delivery_aware,1,12,73,75,2,1.0273972602739727,14,16,1.0,0.3333333333333333,0.08536585365853659,0.0,0.0,0.0,0.24242424242424243
constructed_medium,medium_compressibility,0,24,static,2,0,73,75,2,1.0273972602739727,4,4,1.0,0.0,0.0,0.0,-0.0273972602739726,0.0,0.07407407407407407
constructed_medium,medium_compressibility,0,24,capacity_aware,2,0,81,81,0,1.0,0,0,1.1095890410958904,1.0,-0.08,0.0,-0.1095890410958904,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,0,73,73,0,1.0,0,0,1.0,1.0,0.02666666666666667,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,delivery_aware,2,0,73,73,0,1.0,0,0,1.0,1.0,0.02666666666666667,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,static,2,4,73,73,0,1.0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,capacity_aware,2,4,81,81,0,1.0,0,0,1.1095890410958904,1.0,-0.1095890410958904,0.0,-0.1095890410958904,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,4,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,delivery_aware,2,4,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,static,2,8,73,73,0,1.0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,capacity_aware,2,8,81,81,0,1.0,0,0,1.1095890410958904,1.0,-0.1095890410958904,0.0,-0.1095890410958904,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,8,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,delivery_aware,2,8,73,73,0,1.0,2,0,1.0,0.5,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,static,2,12,73,73,0,1.0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,capacity_aware,2,12,81,81,0,1.0,0,0,1.1095890410958904,1.0,-0.1095890410958904,0.0,-0.1095890410958904,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,12,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,delivery_aware,2,12,73,73,0,1.0,2,0,1.0,0.5,0.0,0.0,0.0,0.0,0.09876543209876543
constructed_medium,medium_compressibility,0,24,static,3,0,73,74,1,1.0136986301369864,2,1,1.0,0.0,0.0,0.0,-0.0136986301369863,0.0,0.05128205128205128
constructed_medium,medium_compressibility,0,24,capacity_aware,3,0,78,78,0,1.0,0,0,1.0684931506849316,1.0,-0.05405405405405406,0.0,-0.0684931506849315,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,3,0,73,73,0,1.0,0,0,1.0,1.0,0.013513513513513514,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,delivery_aware,3,0,73,73,0,1.0,0,0,1.0,1.0,0.013513513513513514,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,static,3,4,73,73,0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,capacity_aware,3,4,78,78,0,1.0,0,0,1.0684931506849316,1.0,-0.0684931506849315,0.0,-0.0684931506849315,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,3,4,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,delivery_aware,3,4,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,static,3,8,73,73,0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,capacity_aware,3,8,78,78,0,1.0,0,0,1.0684931506849316,1.0,-0.0684931506849315,0.0,-0.0684931506849315,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,3,8,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,delivery_aware,3,8,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,static,3,12,73,73,0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,capacity_aware,3,12,78,78,0,1.0,0,0,1.0684931506849316,1.0,-0.0684931506849315,0.0,-0.0684931506849315,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,3,12,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,delivery_aware,3,12,73,73,0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0641025641025641
constructed_medium,medium_compressibility,0,24,static,4,0,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,capacity_aware,4,0,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,4,0,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,4,0,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,static,4,4,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,capacity_aware,4,4,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,4,4,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,4,4,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,static,4,8,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,capacity_aware,4,8,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,4,8,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,4,8,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,static,4,12,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,capacity_aware,4,12,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,4,12,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,4,12,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,static,5,0,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,capacity_aware,5,0,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,5,0,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,5,0,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,static,5,4,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,capacity_aware,5,4,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,5,4,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,5,4,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,static,5,8,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,capacity_aware,5,8,75,75,0,1.0,0,0,1.0273972602739727,0.0,-0.0273972602739726,0.0,-0.0273972602739726,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,5,8,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,delivery_aware,5,8,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
constructed_medium,medium_compressibility,0,24,static,5,12,73,73,0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
