workload,family,seed,n,schedule,B,epsilon,C_star,achieved_slowdown,T_static_at_C_star,T_exe_at_C_star
constructed_medium,medium_compressibility,2,24,static,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,capacity_aware,8,0.05,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,delivery_aware,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,static,8,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,capacity_aware,8,0.1,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,8,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,delivery_aware,8,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,static,12,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,capacity_aware,12,0.05,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,12,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,delivery_aware,12,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,static,12,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,2,24,capacity_aware,12,0.1,1,1.0,102,102
constructed_medium,medium_compressibility,2,24,smooth,12,0.1,1,1.095890410958904,73,80
constructed_medium,medium_compressibility,2,24,delivery_aware,12,0.1,1,1.095890410958904,73,80
constructed_low,low_compressibility,2,24,static,0,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,0,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,0,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,0,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,static,0,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,0,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,0,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,0,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,static,4,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,4,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,4,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,4,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,static,4,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,4,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,4,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,4,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,static,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,static,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,static,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,2,24,static,12,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,capacity_aware,12,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,smooth,12,0.1,1,1.0,110,110
constructed_low,low_compressibility,2,24,delivery_aware,12,0.1,1,1.0,110,110
constructed_high,high_compressibility,3,24,static,0,0.05,,,,
constructed_high,high_compressibility,3,24,capacity_aware,0,0.05,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,0,0.05,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,0,0.05,1,1.0,77,77
constructed_high,high_compressibility,3,24,static,0,0.1,7,1.0909090909090908,77,84
constructed_high,high_compressibility,3,24,capacity_aware,0,0.1,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,0,0.1,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,0,0.1,1,1.0,77,77
constructed_high,high_compressibility,3,24,static,4,0.05,,,,
constructed_high,high_compressibility,3,24,capacity_aware,4,0.05,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,4,0.05,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,4,0.05,1,1.0129870129870129,77,78
constructed_high,high_compressibility,3,24,static,4,0.1,6,1.0909090909090908,77,84
constructed_high,high_compressibility,3,24,capacity_aware,4,0.1,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,4,0.1,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,4,0.1,1,1.0129870129870129,77,78
constructed_high,high_compressibility,3,24,static,8,0.05,10,1.0389610389610389,77,80
constructed_high,high_compressibility,3,24,capacity_aware,8,0.05,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,8,0.05,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,8,0.05,1,1.0129870129870129,77,78
constructed_high,high_compressibility,3,24,static,8,0.1,6,1.0909090909090908,77,84
constructed_high,high_compressibility,3,24,capacity_aware,8,0.1,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,8,0.1,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,8,0.1,1,1.0129870129870129,77,78
constructed_high,high_compressibility,3,24,static,12,0.05,10,1.0389610389610389,77,80
constructed_high,high_compressibility,3,24,capacity_aware,12,0.05,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,12,0.05,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,12,0.05,1,1.0129870129870129,77,78
constructed_high,high_compressibility,3,24,static,12,0.1,6,1.077922077922078,77,83
constructed_high,high_compressibility,3,24,capacity_aware,12,0.1,1,1.0,134,134
constructed_high,high_compressibility,3,24,smooth,12,0.1,1,1.0,77,77
constructed_high,high_compressibility,3,24,delivery_aware,12,0.1,1,1.0129870129870129,77,78
constructed_medium,medium_compressibility,3,24,static,0,0.05,2,1.0410958904109588,73,76
constructed_medium,medium_compressibility,3,24,capacity_aware,0,0.05,1,1.0,100,100
constructed_medium,medium_compressibility,3,24,smooth,0,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,delivery_aware,0,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,static,0,0.1,2,1.0410958904109588,73,76
constructed_medium,medium_compressibility,3,24,capacity_aware,0,0.1,1,1.0,100,100
constructed_medium,medium_compressibility,3,24,smooth,0,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,delivery_aware,0,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,static,4,0.05,2,1.0136986301369864,73,74
constructed_medium,medium_compressibility,3,24,capacity_aware,4,0.05,1,1.0,100,100
constructed_medium,medium_compressibility,3,24,smooth,4,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,delivery_aware,4,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,static,4,0.1,2,1.0136986301369864,73,74
constructed_medium,medium_compressibility,3,24,capacity_aware,4,0.1,1,1.0,100,100
constructed_medium,medium_compressibility,3,24,smooth,4,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,delivery_aware,4,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,static,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,capacity_aware,8,0.05,1,1.0,100,100
constructed_medium,medium_compressibility,3,24,smooth,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,delivery_aware,8,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,static,8,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,capacity_aware,8,0.1,1,1.0,100,100
constructed_medium,medium_compressibility,3,24,smooth,8,0.1,1,1.095890410958904,73,80
constructed_medium,medium_compressibility,3,24,delivery_aware,8,0.1,1,1.095890410958904,73,80
constructed_medium,medium_compressibility,3,24,static,12,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,3,24,capacity_aware,12,0.05,1,1.0,100,100
constructed_medium,medium_compressibility,3,24,smooth,12,0.05,1,1.0410958904109588,73,76
constructed_medium,medium_compressibility,3,24,delivery_aware,12,0.05,1,1.0410958904109588,73,76
