trial,match_rate,mean_regret,median_regret,p95_regret,nontrivial_match_rate,nontrivial_mean_regret,nontrivial_median_regret,nontrivial_p95_regret,excluding_ties_match_rate,excluding_ties_mean_regret,excluding_ties_median_regret,excluding_ties_p95_regret,num_cases,num_nontrivial_cases,num_unique_best_cases
315,0.8543956043956044,0.860029294834603,0.0,2.8153658536585366,0.5679012345679012,2.575351692407307,0.0,9.2725,0.05405405405405406,11.127257533506189,1.4838709677419355,72.01463414634148,1456,486,74
316,0.8543956043956044,0.824691783285847,0.0,2.268292682926829,0.5679012345679012,2.469573610958296,0.0,10.42,0.02702702702702703,11.402262811608592,1.5123809523809524,65.95585365853658,1456,486,74
317,0.8502747252747253,1.1375939877523575,0.0,2.7347619047619047,0.5555555555555556,3.4069035296259296,0.0,8.355263157894736,0.04054054054054054,17.44503545921462,2.268292682926829,107.39463414634147,1456,486,74
318,0.8523351648351648,0.9256530209659419,0.0,3.2039024390243904,0.5617283950617284,2.7719528143151866,0.0,9.866315789473685,0.04054054054054054,12.495717619362956,1.6816383701188458,75.1290243902439,1456,486,74
319,0.8585164835164835,0.6956310533473582,0.0,2.311780821917808,0.5802469135802469,2.082833503918771,0.0,8.736341463414634,0.10810810810810811,8.191162175912062,1.2573259762308997,47.70258064516129,1456,486,74
320,0.8495879120879121,0.6636405280081048,0.0,3.2039024390243904,0.5534979423868313,1.9870826074924672,0.0,8.309677419354838,0.06756756756756757,6.772125369965162,2.047195121951219,37.94451612903226,1456,486,74
321,0.8440934065934066,0.9742559952921693,0.0,3.222876712328768,0.5370370370370371,2.9175617250538433,0.0,11.915263157894737,0.06756756756756757,12.305090251187139,1.5110526315789474,81.56780487804878,1456,486,74
322,0.8475274725274725,1.1300294106520696,0.0,2.96,0.5493827160493827,3.3836869554957856,0.0,14.063376623376623,0.013513513513513514,16.10227885499043,2.268292682926829,83.2,1456,486,74
323,0.8619505494505495,0.5961997244491165,0.0,2.475483870967742,0.588477366255144,1.7855917037627218,0.0,7.419677419354839,0.10810810810810811,6.491367237722884,1.821173780487805,37.754634146341466,1456,486,74
324,0.8543956043956044,1.0711299909098284,0.0,3.1402739726027393,0.565843621399177,3.208339026264836,0.0,13.420526315789475,0.04054054054054054,14.988036861689032,1.761935483870968,78.31341463414635,1456,486,74
