workload,source,family,role,machine,model,tiles,ccz_share,regime,decision_sites,stages,max_stage_width,wide_stage_fraction,consuming_families,mix_drift,alternation_rate,t_rate,ccz_rate,factory_tiles,makespan_fixed_t,makespan_fixed_ccz,makespan_uniform_oracle,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_best_simple,best_simple_policy,makespan_best_non_stateful,best_non_stateful_policy,residual_headroom_vs_existing_search,makespan_stagedp,seconds_stagedp,makespan_oracle,oracle_status,oracle_seconds,oracle_simulations,lower_bound,headroom_vs_best_non_stateful,residual_headroom_vs_stagedp,max_possible_headroom_vs_stagedp,oracle_heterogeneity,stagedp_heterogeneity,oracle_t_stalls,oracle_ccz_stalls,oracle_t_waste,oracle_ccz_waste,stagedp_t_stalls,stagedp_ccz_stalls,stagedp_t_waste,stagedp_ccz_waste,oracle_space_time,stagedp_space_time,policy_seconds_total,model,tiles,regime
qt_modadd8,qualtran,serial_adder,control,A_3200_0.5_abundant,A,3200,0.5,abundant,31,31,1,0.0,1,0.0,0.0,13.1818,3.6667,3179,414,347,347,347,347,347,347,347,414,347,347,uniform_min_teq,347,fixed_ccz,0.0,347,0.321,347,bounded,21.868,3829,343.0,0.0,0.0,0.0115,0.0,0.0,0,3,4411,1191,0,3,4411,1191,1103113,1103113,1.832,A,3200,abundant
qt_modadd8,qualtran,serial_adder,control,A_400_0.25,A,400,0.25,standard,31,31,1,0.0,1,0.0,0.0,2.4545,0.1667,369,414,347,347,347,414,347,347,347,414,347,347,uniform_min_teq,347,fixed_ccz,0.0,347,0.224,347,bounded,20.927,5278,343.0,0.0,0.0,0.0115,0.0,0.0,0,3,796,0,0,3,796,0,128043,128043,0.895,A,400,standard
qt_modadd8,qualtran,serial_adder,control,A_400_0.5,A,400,0.5,standard,31,31,1,0.0,1,0.0,0.0,1.6364,0.5,414,414,347,347,347,347,347,347,347,414,347,347,uniform_min_teq,347,fixed_ccz,0.0,347,0.285,347,bounded,20.893,5294,343.0,0.0,0.0,0.0115,0.0,0.0,0,3,520,108,0,3,520,108,143658,143658,0.861,A,400,standard
qt_modadd8,qualtran,serial_adder,control,A_400_0.75,A,400,0.75,standard,31,31,1,0.0,1,0.0,0.0,0.8182,0.6667,387,415,347,347,347,347,347,347,347,347,347,347,uniform_min_teq,347,fixed_ccz,0.0,347,0.273,347,bounded,20.831,5419,343.0,0.0,0.0,0.0115,0.0,0.0,0,3,244,165,0,3,244,165,134289,134289,0.852,A,400,standard
qt_modadd8,qualtran,serial_adder,control,A_800_0.5,A,800,0.5,standard,31,31,1,0.0,1,0.0,0.0,3.2727,1.0,828,414,347,347,347,347,347,347,347,414,347,347,uniform_min_teq,347,fixed_ccz,0.0,347,0.287,347,bounded,21.085,5059,343.0,0.0,0.0,0.0115,0.0,0.0,0,3,1071,279,0,3,1071,279,287316,287316,0.951,A,800,standard
qt_modadd8,qualtran,serial_adder,control,B_400_0.25,B,400,0.25,standard,31,31,1,0.0,1,0.0,0.0,1.8182,0.1667,408,417,349,349,349,417,349,349,349,417,349,349,uniform_min_teq,349,fixed_ccz,0.0,349,0.371,349,bounded,22.742,2800,343.0,0.0,0.0,0.0172,0.0,0.0,0,5,0,0,0,5,0,0,142392,142392,2.811,B,400,standard
qt_modadd8,qualtran,serial_adder,control,B_400_0.5,B,400,0.5,standard,31,31,1,0.0,1,0.0,0.0,1.2727,0.3333,386,418,350,350,350,350,350,350,350,418,350,350,uniform_min_teq,350,fixed_ccz,0.0,350,0.34,350,bounded,22.244,3143,343.0,0.0,0.0,0.02,0.0,0.0,0,6,0,0,0,6,0,0,135100,135100,2.204,B,400,standard
qt_modadd8,qualtran,serial_adder,control,B_400_0.5_scarce,B,400,0.5,scarce,31,31,1,0.0,1,0.0,0.0,0.7426,0.1702,370,420,349,349,349,420,349,349,349,420,349,349,uniform_min_teq,349,fixed_ccz,0.0,349,0.334,349,bounded,21.682,3600,343.0,0.0,0.0,0.0172,0.0,0.0,0,5,0,0,0,5,0,0,129130,129130,1.582,B,400,scarce
qt_modadd8,qualtran,serial_adder,control,B_400_0.75,B,400,0.75,standard,31,31,1,0.0,1,0.0,0.0,0.7273,0.6667,442,419,350,350,350,350,350,350,350,350,350,350,uniform_min_teq,350,fixed_ccz,0.0,350,0.125,350,bounded,21.893,3393,343.0,0.0,0.0,0.02,0.0,0.0,0,6,0,0,0,6,0,0,154700,154700,1.893,B,400,standard
qt_modadd8,qualtran,serial_adder,control,B_800_0.5,B,800,0.5,standard,31,31,1,0.0,1,0.0,0.0,2.5455,0.6667,772,416,349,349,349,349,349,349,349,416,349,349,uniform_min_teq,349,fixed_ccz,0.0,349,0.159,349,bounded,23.69,2334,343.0,0.0,0.0,0.0172,0.0,0.0,0,5,0,0,0,5,0,0,269428,269428,3.759,B,800,standard
