workload,family,seed,n,schedule,C_nominal,eta,C_eff,B,T_ref_asap,T_static,T_exe,ratio_to_T_ref,stall_cycles,Delta_max,BacklogArea,L_backlog,max_backlog,target_violation_5pct,degradation_vs_eta_1
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0.75,2,0,82,91,156,1.9024390243902438,65,130,5416,88,130,1,0.39285714285714285
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0.5,1,0,82,91,288,3.5121951219512195,197,197,9600,90,197,1,1.5714285714285714
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,1.0,3,0,82,135,135,1.646341463414634,0,0,0,0,0,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0.9,2,0,82,268,268,3.268292682926829,0,0,0,0,0,1,0.9851851851851852
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0.75,2,0,82,268,268,3.268292682926829,0,0,0,0,0,1,0.9851851851851852
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0.5,1,0,82,268,288,3.5121951219512195,20,20,244,25,20,1,1.1333333333333333
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,1.0,3,8,82,114,114,1.3902439024390243,0,0,0,0,0,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0.9,2,8,82,114,152,1.853658536585366,38,84,4356,103,76,1,0.3333333333333333
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0.75,2,8,82,114,152,1.853658536585366,38,84,4356,103,76,1,0.3333333333333333
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0.5,1,8,82,114,280,3.4146341463414633,166,174,10881,109,166,1,1.456140350877193
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,1.0,3,8,82,91,110,1.3414634146341464,19,63,1014,38,55,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0.9,2,8,82,91,152,1.853658536585366,61,130,4724,80,122,1,0.38181818181818183
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0.75,2,8,82,91,152,1.853658536585366,61,130,4724,80,122,1,0.38181818181818183
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0.5,1,8,82,91,280,3.4146341463414633,189,197,8880,86,189,1,1.5454545454545454
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,1.0,3,8,82,91,110,1.3414634146341464,19,63,1023,38,55,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0.9,2,8,82,91,152,1.853658536585366,61,130,4743,79,122,1,0.38181818181818183
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0.75,2,8,82,91,152,1.853658536585366,61,130,4743,79,122,1,0.38181818181818183
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0.5,1,8,82,91,280,3.4146341463414633,189,197,8893,85,189,1,1.5454545454545454
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,1.0,3,8,82,135,135,1.646341463414634,0,0,0,0,0,1,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0.9,2,8,82,268,268,3.268292682926829,0,0,0,0,0,1,0.9851851851851852
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0.75,2,8,82,268,268,3.268292682926829,0,0,0,0,0,1,0.9851851851851852
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0.5,1,8,82,268,280,3.4146341463414633,12,20,83,13,12,1,1.0740740740740742
