workload,family,seed,n,C,B,T_ref_asap,smooth_T_static,smooth_T_exe,smooth_ratio_to_T_ref,smooth_stall_cycles,smooth_Delta_max,smooth_L_backlog,smooth_BacklogArea,smooth_max_backlog,smooth_num_backlog_intervals,smooth_longest_backlog_interval,failure_reason,failure_score,T_count,critical_path_length,slack_ratio,mean_slack,median_slack,p90_slack,fraction_zero_slack,fraction_slack_ge_2,fraction_slack_ge_5,ready_T_width_peak,ready_T_width_mean,D_peak,D_mean,D_std,D_cv,D_peak_to_mean,num_demand_peaks,demand_entropy,demand_gini,B_over_C,mean_demand_over_C,peak_demand_over_C,supply_tightness
multiplier_n6,semi_real_multiplier,0,6,1,8,32.0,42,42,1.3125,0,6,0,0,0,0,0,misses_1.05_T_ref,0.26249999999999996,40,32,0.9,4.65,5.0,6.0,0.1,0.9,0.9,7,1.25,6,0.9523809523809523,1.1116778599932144,1.1672617529928753,6.300000000000001,1,4.643942707918267,0.4178571428571429,8.0,0.9523809523809523,6.0,1.0
multiplier_n6,semi_real_multiplier,0,6,1,12,32.0,42,42,1.3125,0,6,0,0,0,0,0,misses_1.05_T_ref,0.26249999999999996,40,32,0.9,4.65,5.0,6.0,0.1,0.9,0.9,7,1.25,6,0.9523809523809523,1.1116778599932144,1.1672617529928753,6.300000000000001,1,4.643942707918267,0.4178571428571429,12.0,0.9523809523809523,6.0,0.9090909090909091
multiplier_n8,semi_real_multiplier,0,8,1,0,42.0,71,80,1.9047619047619047,9,9,13,60,9,1,13,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,8.154761904761905,69,42,0.927536231884058,5.681159420289855,6,7.0,0.07246376811594203,0.927536231884058,0.927536231884058,9,1.6428571428571428,8,0.971830985915493,1.1129434515570935,1.1452026820370091,8.231884057971014,1,5.535919021932847,0.33231271688099606,0.0,0.971830985915493,8.0,1.6428571428571428
multiplier_n8,semi_real_multiplier,0,8,1,4,42.0,71,76,1.8095238095238095,5,9,6,17,5,1,6,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,3.0595238095238098,69,42,0.927536231884058,5.681159420289855,6,7.0,0.07246376811594203,0.927536231884058,0.927536231884058,9,1.6428571428571428,8,0.971830985915493,1.1129434515570935,1.1452026820370091,8.231884057971014,1,5.535919021932847,0.33231271688099606,4.0,0.971830985915493,8.0,1.5
multiplier_n8,semi_real_multiplier,0,8,1,8,42.0,71,72,1.7142857142857142,1,9,1,1,1,1,1,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,0.8642857142857141,69,42,0.927536231884058,5.681159420289855,6,7.0,0.07246376811594203,0.927536231884058,0.927536231884058,9,1.6428571428571428,8,0.971830985915493,1.1129434515570935,1.1452026820370091,8.231884057971014,1,5.535919021932847,0.33231271688099606,8.0,0.971830985915493,8.0,1.38
multiplier_n8,semi_real_multiplier,0,8,1,12,42.0,71,71,1.6904761904761905,0,9,0,0,0,0,0,misses_1.05_T_ref,0.6404761904761904,69,42,0.927536231884058,5.681159420289855,6,7.0,0.07246376811594203,0.927536231884058,0.927536231884058,9,1.6428571428571428,8,0.971830985915493,1.1129434515570935,1.1452026820370091,8.231884057971014,1,5.535919021932847,0.33231271688099606,12.0,0.971830985915493,8.0,1.2777777777777777
multiplier_n8,semi_real_multiplier,0,8,2,0,41.99999999999999,42,46,1.0952380952380953,4,8,11,38,8,3,8,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,4.945238095238095,69,42,0.927536231884058,5.681159420289855,6,7.0,0.07246376811594203,0.927536231884058,0.927536231884058,9,1.6428571428571428,8,1.6428571428571428,2.4282212632709896,1.478047725469298,4.869565217391305,4,4.073649500885898,0.6766735679779159,0.0,0.8214285714285714,4.0,0.8214285714285714
multiplier_n8,semi_real_multiplier,0,8,2,4,42.0,42,44,1.0476190476190477,2,8,3,8,4,2,2,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea,1.1,69,42,0.927536231884058,5.681159420289855,6,7.0,0.07246376811594203,0.927536231884058,0.927536231884058,9,1.6428571428571428,8,1.6428571428571428,2.4282212632709896,1.478047725469298,4.869565217391305,4,4.073649500885898,0.6766735679779159,2.0,0.8214285714285714,4.0,0.7840909090909091
multiplier_n12,semi_real_multiplier,0,12,1,0,62.00000000000001,154,168,2.7096774193548385,14,14,19,127,14,1,19,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,16.25967741935484,152,62,0.9473684210526315,7.657894736842105,8.0,8.0,0.05263157894736842,0.9473684210526315,0.9473684210526315,13,2.4516129032258065,12,0.987012987012987,1.0318751874275978,1.0454524925253292,12.157894736842106,1,6.862866164673958,0.20873205741626788,0.0,0.987012987012987,12.0,2.4516129032258065
multiplier_n12,semi_real_multiplier,0,12,1,4,62.0,154,164,2.6451612903225805,10,14,11,60,10,1,11,smooth_stalls;Delta_max_gt_B;positive_L_backlog;positive_BacklogArea;misses_1.05_T_ref,8.69516129032258,152,62,0.9473684210526315,7.657894736842105,8.0,8.0,0.05263157894736842,0.9473684210526315,0.9473684210526315,13,2.4516129032258065,12,0.987012987012987,1.0318751874275978,1.0454524925253292,12.157894736842106,1,6.862866164673958,0.20873205741626788,4.0,0.987012987012987,12.0,2.303030303030303
