workload,family,seed,n,schedule,C,B,p_acc,num_trials,T_ref_asap,mean_T_exe,median_T_exe,p90_T_exe,p95_T_exe,p99_T_exe,std_T_exe,mean_ratio_to_T_ref,p95_ratio_to_T_ref,p99_ratio_to_T_ref,mean_stall_cycles,p95_stall_cycles,stall_probability,target_violation_prob_5pct,target_violation_prob_10pct,mean_BacklogArea,p95_BacklogArea,mean_L_backlog,p95_L_backlog
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0,1.0,200,82,112.0,112.0,112.0,112.0,112.0,0.0,1.3658536585365855,1.3658536585365855,1.3658536585365855,21.0,21.0,1.0,1.0,1.0,55.0,55.0,9.0,9.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0,1.0,200,82,112.0,112.0,112.0,112.0,112.0,0.0,1.3658536585365855,1.3658536585365855,1.3658536585365855,21.0,21.0,1.0,1.0,1.0,55.0,55.0,9.0,9.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0,1.0,200,82,135.0,135.0,135.0,135.0,135.0,0.0,1.646341463414634,1.646341463414634,1.646341463414634,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0,0.995,200,82,114.005,114.0,114.0,114.0,114.0,0.07053367989832943,1.3903048780487806,1.3902439024390243,1.3902439024390243,0.005,0.0,0.005,1.0,1.0,0.005,0.0,0.005,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0,0.995,200,82,112.725,113.0,113.0,113.0,114.0,0.4993746088859545,1.3746951219512196,1.3780487804878048,1.3902439024390243,21.725,22.0,1.0,1.0,1.0,55.57,58.0,9.0,9.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0,0.995,200,82,112.725,113.0,113.0,113.0,114.0,0.4993746088859545,1.3746951219512196,1.3780487804878048,1.3902439024390243,21.725,22.0,1.0,1.0,1.0,55.57,58.0,9.0,9.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0,0.995,200,82,135.0,135.0,135.0,135.0,135.0,0.0,1.646341463414634,1.646341463414634,1.646341463414634,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0,0.99,200,82,114.19,114.0,115.0,115.0,115.00999999999999,0.41701318923986086,1.3925609756097561,1.4024390243902438,1.402560975609756,0.19,1.0,0.18,1.0,1.0,0.19,1.0,0.19,1.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0,0.99,200,82,113.27,113.0,114.0,114.0,115.0,0.6140846847137617,1.3813414634146342,1.3902439024390243,1.4024390243902438,22.27,23.0,1.0,1.0,1.0,57.005,60.0,9.045,9.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0,0.99,200,82,113.27,113.0,114.0,114.0,115.0,0.6140846847137617,1.3813414634146342,1.3902439024390243,1.4024390243902438,22.27,23.0,1.0,1.0,1.0,57.005,60.0,9.045,9.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0,0.99,200,82,135.0,135.0,135.0,135.0,135.0,0.0,1.646341463414634,1.646341463414634,1.646341463414634,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0,0.95,200,82,117.325,117.0,119.0,119.0,120.0,1.2121777922400658,1.4307926829268292,1.451219512195122,1.4634146341463414,3.325,5.0,1.0,1.0,1.0,3.455,6.0,3.325,5.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0,0.95,200,82,117.05,117.0,119.0,119.0,120.0,1.291317157014496,1.427439024390244,1.451219512195122,1.4634146341463414,26.05,28.0,1.0,1.0,1.0,62.93,67.04999999999998,10.565,12.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0,0.95,200,82,117.05,117.0,119.0,119.0,120.0,1.291317157014496,1.427439024390244,1.451219512195122,1.4634146341463414,26.05,28.0,1.0,1.0,1.0,62.9,67.04999999999998,10.58,12.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0,0.95,200,82,135.0,135.0,135.0,135.0,135.0,0.0,1.646341463414634,1.646341463414634,1.646341463414634,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,0,0.9,200,82,122.105,122.0,124.0,125.0,126.0,1.7475625882926196,1.4890853658536585,1.524390243902439,1.5365853658536586,8.105,11.0,1.0,1.0,1.0,8.82,12.0,8.07,11.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,0,0.9,200,82,122.045,122.0,124.0,125.0,126.0,1.792477335979454,1.4883536585365855,1.524390243902439,1.5365853658536586,31.045,34.0,1.0,1.0,1.0,69.48,75.0,12.825,15.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,0,0.9,200,82,122.045,122.0,124.0,125.0,126.0,1.792477335979454,1.4883536585365855,1.524390243902439,1.5365853658536586,31.045,34.0,1.0,1.0,1.0,69.41,75.0,12.87,15.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,0,0.9,200,82,135.0,135.0,135.0,135.0,135.0,0.0,1.646341463414634,1.646341463414634,1.646341463414634,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,8,1.0,200,82,114.0,114.0,114.0,114.0,114.0,0.0,1.390243902439024,1.3902439024390243,1.3902439024390243,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,8,1.0,200,82,110.0,110.0,110.0,110.0,110.0,0.0,1.3414634146341464,1.3414634146341464,1.3414634146341464,19.0,19.0,1.0,1.0,1.0,47.0,47.0,8.0,8.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,delivery_aware_v2,3,8,1.0,200,82,110.0,110.0,110.0,110.0,110.0,0.0,1.3414634146341464,1.3414634146341464,1.3414634146341464,19.0,19.0,1.0,1.0,1.0,47.0,47.0,8.0,8.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,robust_smooth,3,8,1.0,200,82,135.0,135.0,135.0,135.0,135.0,0.0,1.646341463414634,1.646341463414634,1.646341463414634,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,capacity_aware,3,8,0.995,200,82,114.0,114.0,114.0,114.0,114.0,0.0,1.390243902439024,1.3902439024390243,1.3902439024390243,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
larger_multiplier_n16,semi_real_multiplier_larger,0,16,smooth,3,8,0.995,200,82,110.15,110.0,111.0,111.0,111.0,0.37080992435478316,1.3432926829268295,1.353658536585366,1.353658536585366,19.15,20.0,1.0,1.0,1.0,48.8,51.0,8.0,8.0
